brand,perfume_name,perfume_type,perfume_name_cleaned,avg_original_price_per_liter,avg_reduced_price_per_liter
Berdoues,Berdoues Eau de Toilette ROSE & LITCHI,Eau de Toilette,ROSE & LITCHI,329.9,
Berdoues,Berdoues Eau de Toilette MONOI & COCO,Eau de Toilette,MONOI & COCO,349.9,
Berdoues,Berdoues Eau de Toilette THÉ VERT & FREE,Eau de Toilette,THÉ VERT & FREE,431.67,345.33
Berdoues,Berdoues Eau de Parfum Verveine & Clémentine,Eau de Parfum,Verveine & Clémentine,598.0,478.4
Berdoues,Berdoues Eau de Parfum Collection Grand Crus Guaria Morada,Eau de Parfum,Collection Grand Crus Guaria Morada,850.0,680.0
Berdoues,Berdoues Eau de Toilette Collection Grand Crus Avoine & Coquelicot,Eau de Toilette,Collection Grand Crus Avoine & Coquelicot,329.0,263.2
Berdoues,Berdoues Eau de Cologne Jasmin,Eau de Cologne,Jasmin,139.12,
Berdoues,Berdoues Eau de Parfum Fleur de Jasmin & Amandier EDP Bio,Eau de Parfum,Fleur de Jasmin & Amandier EDP Bio,598.0,478.4
Berdoues,Berdoues Eau de Parfum Fleur de Tiaré & Ylang,Eau de Parfum,Fleur de Tiaré & Ylang,598.0,478.4
Berdoues,Berdoues Eau de Parfum Collection Grand Crus Maasai Mara,Eau de Parfum,Collection Grand Crus Maasai Mara,850.0,680.0
Berdoues,Berdoues Eau de Toilette NÉROLI & PEACE,Eau de Toilette,NÉROLI & PEACE,431.67,345.33
Berdoues,Berdoues Eau de Parfum Collection Grand Crus Somei Yoshino,Eau de Parfum,Collection Grand Crus Somei Yoshino,850.0,680.0
Berdoues,Berdoues Eau de Toilette Musc & Néroli,Eau de Toilette,Musc & Néroli,329.0,263.2
Berdoues,Berdoues Eau de Cologne Coton,Eau de Cologne,Coton,139.12,
Berdoues,Berdoues Eau de Cologne Vetiver,Eau de Cologne,Vetiver,135.2,108.16
Berdoues,Berdoues Eau de Parfum Collection Grand Crus Selva Do Brazil,Eau de Parfum,Collection Grand Crus Selva Do Brazil,850.0,680.0
Berdoues,Berdoues Eau de Toilette Ylang & Fleur de Sel,Eau de Toilette,Ylang & Fleur de Sel,329.0,263.2
Berdoues,Berdoues Eau de Toilette OSMANTHUS & LOVE,Eau de Toilette,OSMANTHUS & LOVE,431.67,345.33
Berdoues,Berdoues Eau de Toilette Pivoine & Rhubarbe,Eau de Toilette,Pivoine & Rhubarbe,329.0,263.2
Berdoues,Berdoues Eau de Toilette Monoi&Tiaré,Eau de Toilette,Monoi&Tiaré,329.9,
Berdoues,Berdoues Eau de Toilette Vanille & Safran,Eau de Toilette,Vanille & Safran,329.0,263.2
Berdoues,Berdoues Eau de Parfum MATAHARI DI BALI,Eau de Parfum,MATAHARI DI BALI,850.0,
