,brand,perfume_name,url,100 ml original_price,100 ml reduced_price,30 ml original_price,30 ml reduced_price,50 ml original_price,50 ml reduced_price,125 ml original_price,125 ml reduced_price,150 ml original_price,150 ml reduced_price,40 ml original_price,40 ml reduced_price,75 ml original_price,75 ml reduced_price,60 ml original_price,60 ml reduced_price,110 ml original_price,110 ml reduced_price,90 ml original_price,90 ml reduced_price,200 ml original_price,200 ml reduced_price,80 ml original_price,80 ml reduced_price,250 ml original_price,250 ml reduced_price,750 ml original_price,750 ml reduced_price,600 ml original_price,600 ml reduced_price,65 ml original_price,65 ml reduced_price,120 ml original_price,120 ml reduced_price,10 ml original_price,10 ml reduced_price,36 ml original_price,36 ml reduced_price,25 ml original_price,25 ml reduced_price,180 ml original_price,180 ml reduced_price,20 ml original_price,20 ml reduced_price,300 ml original_price,300 ml reduced_price,170 ml original_price,170 ml reduced_price,8 ml original_price,8 ml reduced_price,15 ml original_price,15 ml reduced_price,35 ml original_price,35 ml reduced_price,177 ml original_price,177 ml reduced_price,27 ml original_price,27 ml reduced_price,225 ml original_price,225 ml reduced_price,95 ml original_price,95 ml reduced_price,53 ml original_price,53 ml reduced_price,45 ml original_price,45 ml reduced_price,14 ml original_price,14 ml reduced_price,118 ml original_price,118 ml reduced_price,236 ml original_price,236 ml reduced_price,3 ml original_price,3 ml reduced_price,12 ml original_price,12 ml reduced_price,5 ml original_price,5 ml reduced_price,85 ml original_price,85 ml reduced_price,175 ml original_price,175 ml reduced_price,21 ml original_price,21 ml reduced_price,140 ml original_price,140 ml reduced_price,500 ml original_price,500 ml reduced_price,97 ml original_price,97 ml reduced_price,290 ml original_price,290 ml reduced_price,70 ml original_price,70 ml reduced_price,11 ml original_price,11 ml reduced_price,33 ml original_price,33 ml reduced_price,350 ml original_price,350 ml reduced_price,400 ml original_price,400 ml reduced_price,160 ml original_price,160 ml reduced_price,240 ml original_price,240 ml reduced_price,59 ml original_price,59 ml reduced_price,26 ml original_price,26 ml reduced_price,88 ml original_price,88 ml reduced_price,650 ml original_price,650 ml reduced_price,105 ml original_price,105 ml reduced_price,18 ml original_price,18 ml reduced_price,87 ml original_price,87 ml reduced_price,194 ml original_price,194 ml reduced_price,29 ml original_price,29 ml reduced_price,avg_original_price_per_liter,avg_reduced_price_per_liter
0,Berdoues,Berdoues Eau de Toilette ROSE & LITCHI,https://www.douglas.de/de/p/5011491029,32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.9,
1,Berdoues,Berdoues Eau de Toilette MONOI & COCO,https://www.douglas.de/de/p/5011556000,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.9,
2,Berdoues,Berdoues Eau de Toilette THÉ VERT & FREE,https://www.douglas.de/de/p/5011285362,,,12.95,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.6666666666667,345.3333333333333
3,Berdoues,Berdoues Eau de Parfum Verveine & Clémentine,https://www.douglas.de/de/p/5010606002,,,,,29.9,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.9999999999999,478.40000000000003
4,Berdoues,Berdoues Eau de Parfum Collection Grand Crus Guaria Morada,https://www.douglas.de/de/p/5003067016,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,680.0
5,Berdoues,Berdoues Eau de Toilette Collection Grand Crus Avoine & Coquelicot,https://www.douglas.de/de/p/5010551005,32.9,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.99999999999994,263.2
6,Berdoues,Berdoues Eau de Cologne Jasmin,https://www.douglas.de/de/p/5011286021,,,,,,,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.12,
7,Berdoues,Berdoues Eau de Parfum Fleur de Jasmin & Amandier EDP Bio,https://www.douglas.de/de/p/5010352322,,,,,29.9,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.9999999999999,478.40000000000003
8,Berdoues,Berdoues Eau de Parfum Fleur de Tiaré & Ylang,https://www.douglas.de/de/p/5010352318,,,,,29.9,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.9999999999999,478.40000000000003
9,Berdoues,Berdoues Eau de Parfum Collection Grand Crus Maasai Mara,https://www.douglas.de/de/p/5001768467,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,680.0
10,Berdoues,Berdoues Eau de Toilette NÉROLI & PEACE,https://www.douglas.de/de/p/5011285355,,,12.95,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.6666666666667,345.3333333333333
11,Berdoues,Berdoues Eau de Parfum Collection Grand Crus Somei Yoshino,https://www.douglas.de/de/p/5001768426,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,680.0
12,Berdoues,Berdoues Eau de Toilette Musc & Néroli,https://www.douglas.de/de/p/5003121003,32.9,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.99999999999994,263.2
13,Berdoues,Berdoues Eau de Cologne Coton,https://www.douglas.de/de/p/5010606001,,,,,,,17.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.12,
14,Berdoues,Berdoues Eau de Cologne Vetiver,https://www.douglas.de/de/p/5011222023,,,,,,,16.9,13.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.2,108.16
15,Berdoues,Berdoues Eau de Parfum Collection Grand Crus Selva Do Brazil,https://www.douglas.de/de/p/5001768431,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,680.0
16,Berdoues,Berdoues Eau de Toilette Ylang & Fleur de Sel,https://www.douglas.de/de/p/5010352016,32.9,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.99999999999994,263.2
17,Berdoues,Berdoues Eau de Toilette OSMANTHUS & LOVE,https://www.douglas.de/de/p/5011285357,,,12.95,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.6666666666667,345.3333333333333
18,Berdoues,Berdoues Eau de Toilette Pivoine & Rhubarbe,https://www.douglas.de/de/p/5003121004,32.9,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.99999999999994,263.2
19,Berdoues,Berdoues Eau de Toilette Monoi&Tiaré,https://www.douglas.de/de/p/5011259038,32.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.9,
20,Berdoues,Berdoues Eau de Toilette Vanille & Safran,https://www.douglas.de/de/p/5010589024,32.9,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.99999999999994,263.2
21,Berdoues,Berdoues Eau de Parfum MATAHARI DI BALI,https://www.douglas.de/de/p/5011526021,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,
22,Berdoues,Berdoues Eau de Cologne Fleur d´Oranger,https://www.douglas.de/de/p/5011284905,,,,,,,16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.92,
23,Berdoues,Berdoues Eau de Toilette BAIES & FUN,https://www.douglas.de/de/p/5011285361,,,12.95,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.6666666666667,345.3333333333333
24,Berdoues,Berdoues Eau de Toilette Musc Blanc & Lin,https://www.douglas.de/de/p/5011582023,34.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.9,
25,Berdoues,Berdoues Eau de Parfum Collection Grand Crus Assam of India,https://www.douglas.de/de/p/5001768424,85.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850.0,680.0
26,Berdoues,,https://www.douglas.de/de/p/5003121008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Berdoues,Berdoues Eau de Parfum Fleur d´Oranger & Bergamote EDP Bio,https://www.douglas.de/de/p/5010352325,,,,,29.9,23.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,597.9999999999999,478.40000000000003
28,Davidoff,Davidoff Bodyspray Cool Water All Over Body Spray,https://www.douglas.de/de/p/3001036999,,,,,,,,,29.0,13.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.33333333333334,89.93333333333334
29,Davidoff,Davidoff Eau de Toilette Cool Water Reborn,https://www.douglas.de/de/p/5010587097?variant=1007272,,,,,,,85.0,68.0,,,45.0,42.0,64.0,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886.1111111111112,758.888888888889
30,Davidoff,Davidoff Eau de Toilette Cool Water Woman Reborn,https://www.douglas.de/de/p/5010587098?variant=1007276,86.0,53.99,,,63.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.9,539.9
31,Davidoff,Davidoff Eau de Toilette Hot Water,https://www.douglas.de/de/p/3000030528?variant=456353,,,,,,,,,,,,,,,60.0,48.0,88.0,41.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900.0,590.8636363636364
32,Davidoff,Davidoff After Shave Cool Water Balm,https://www.douglas.de/de/p/3000045037,46.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.0,367.99999999999994
33,Davidoff,Davidoff Eau de Parfum Cool Water Woman Reborn Intense,https://www.douglas.de/de/p/5011414001,92.0,73.6,,,67.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1130.0,904.0
